jd1,jd2,jd3,jd4,jd5,jd6,ee1,ee2,ee3,ee4,ee5,ee6,dp1,dp2,dp3,dp4,dp5,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,ss1,ss2,ss3,ss4,ss5,ti1,ti2,ti3,ti4,ti5,ti6,gender,age,tenure,dept
4,4,2,4,2,4,3,3,2,4,3,3,4,2,4,4,3,4,3,4,2,4,3,2,4,4,5,4,4,5,3,2,2,3,4,2,1,26,13,5
2,2,4,2,4,2,3,3,3,2,3,2,2,3,,2,2,4,4,,2,4,4,3,4,5,5,5,5,5,1,1,2,1,4,1,1,32,22,1
4,4,2,4,2,4,4,5,5,4,4,4,2,3,3,3,3,2,2,2,4,2,2,4,3,2,,2,2,2,3,4,4,4,2,4,2,49,27,3
2,3,3,3,3,2,3,3,3,2,3,3,2,4,2,2,2,3,2,3,4,2,2,4,2,5,5,5,4,5,3,2,2,2,3,3,1,33,29,4
4,3,3,3,3,2,4,4,4,4,4,3,1,5,2,1,1,4,3,4,3,4,3,2,3,4,4,4,,4,3,3,3,,2,3,2,46,11,1
2,2,4,2,5,1,2,3,2,3,3,3,3,3,2,2,3,5,5,5,1,5,4,1,5,5,5,5,5,5,1,1,1,1,5,1,2,38,26,5
1,1,5,2,5,1,3,3,3,3,3,2,2,5,2,1,1,4,4,4,3,3,3,3,5,5,5,5,5,4,2,2,2,2,4,2,1,50,17,2
2,2,4,2,4,3,2,1,1,1,1,1,1,5,1,1,1,4,4,4,2,5,4,1,4,4,4,4,4,4,3,2,2,3,3,2,2,33,5,5
3,3,4,3,4,2,2,2,1,2,,3,3,3,2,2,,5,5,5,1,5,5,1,5,2,2,2,2,2,1,1,1,1,5,1,1,28,1,1
2,2,4,2,4,3,4,5,4,5,5,4,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,2,2,2,5,5,5,5,1,5,2,32,22,2
3,3,2,3,3,3,2,1,2,2,2,2,1,5,1,1,1,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,4,2,1,45,3,1
1,1,4,1,5,1,2,2,1,2,1,2,2,3,2,2,2,4,4,4,2,5,3,2,4,4,4,4,4,4,2,3,3,3,3,3,2,47,23,2
3,3,4,3,3,4,3,3,,3,3,3,2,3,3,2,3,4,,4,1,5,5,2,4,3,3,2,3,2,5,4,4,4,3,4,2,39,16,2
4,4,2,4,2,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,3,4,2,3,4,4,4,4,3,4,4,4,3,3,4,2,46,1,3
,1,5,2,5,1,2,2,1,1,2,2,1,4,1,1,2,4,4,4,2,,4,2,5,5,4,4,5,5,1,1,2,1,5,2,2,45,16,2
3,3,3,3,3,2,3,4,3,4,3,3,3,3,2,2,2,1,1,2,5,1,1,5,,,1,1,1,1,4,3,3,3,2,3,1,35,6,1
4,4,2,5,1,4,2,2,2,2,2,2,3,4,2,3,2,4,4,4,2,4,4,2,4,3,3,4,4,,3,3,3,3,3,3,2,41,27,1
3,3,3,4,3,3,2,2,2,2,2,2,,5,1,1,1,5,5,5,1,5,5,1,5,4,5,5,5,5,2,,2,2,4,2,2,35,8,2
4,4,2,5,2,3,3,3,3,3,3,3,2,4,2,2,2,2,3,2,3,3,2,3,3,4,4,4,4,4,3,3,3,3,3,3,1,43,18,5
1,2,4,1,4,3,2,2,2,2,2,2,1,,1,1,1,5,5,5,1,5,5,1,5,3,3,2,3,2,3,3,3,3,3,3,1,52,4,2
2,3,3,3,3,3,4,3,4,4,4,4,2,4,2,2,1,2,2,2,,2,2,4,2,1,2,,2,1,3,3,3,3,3,2,2,45,6,3
3,3,3,2,3,3,4,4,3,3,3,4,3,4,3,2,3,2,2,3,3,3,2,4,3,4,4,4,4,5,3,3,3,3,2,3,1,54,26,1
2,2,4,,4,2,3,3,3,4,3,3,2,3,2,2,2,4,4,4,2,4,4,2,4,4,5,5,4,5,3,3,2,3,3,2,1,50,8,3
5,5,2,5,2,4,4,4,4,3,5,4,2,3,2,3,2,4,4,5,1,5,5,1,5,2,3,2,3,2,2,1,2,1,5,1,2,45,29,4
3,3,2,3,3,4,4,3,4,3,3,4,3,2,4,3,4,2,2,3,4,2,2,3,3,1,2,2,2,1,5,5,,5,2,4,1,21,17,5
4,3,2,3,2,3,3,4,3,4,4,4,2,4,2,2,2,1,1,2,5,1,2,4,1,2,2,2,3,3,4,4,5,4,2,4,2,25,5,2
5,4,2,4,2,4,2,2,,2,3,2,4,2,4,3,4,5,5,4,1,4,4,1,5,3,3,3,3,3,3,4,4,4,3,3,2,30,8,1
4,4,2,4,2,4,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,2,4,3,,3,3,4,2,2,2,2,4,2,1,20,19,5
3,4,2,4,2,4,3,4,4,,4,4,1,4,2,2,2,2,1,2,5,2,2,4,2,,4,4,4,3,2,2,3,3,3,3,2,41,14,5
1,1,5,1,5,1,1,1,1,1,2,1,2,4,3,2,2,4,3,4,2,4,4,3,3,4,3,4,4,4,1,1,1,1,5,1,1,25,4,2
5,4,2,5,2,4,5,5,5,5,5,5,4,2,4,4,4,4,4,3,2,3,3,3,4,3,3,2,3,2,5,5,5,4,1,5,1,41,17,3
3,2,4,3,4,2,2,3,3,2,3,3,2,4,2,1,1,4,3,3,2,4,4,2,4,3,3,3,3,3,3,,3,2,3,3,1,38,24,2
3,3,3,3,2,3,2,2,1,1,2,1,2,3,3,3,3,2,2,2,4,2,2,4,2,3,2,2,2,3,3,3,2,3,3,2,2,39,25,2
