au1,au2,au3,au4,im1,im2,im3,im4,im5,ib1,ib2,ib3,ib4,ib5,ib6,tl1,tl2,tl3,tl4,tl5,tl6,ps1,ps2,ps3,ps4,ps5,gender,age,tenure,group_id,team_size
3,3,3,2,3,3,,3,3,2,2,2,1,2,2,2,2,2,2,3,3,4,3,3,3,3,2,46,1,1,9
5,5,5,5,4,4,2,3,4,3,3,3,3,3,3,2,1,2,2,2,3,5,3,3,3,3,2,40,2,1,9
4,4,3,3,4,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,2,33,15,1,9
3,2,2,1,1,1,4,2,2,1,2,1,2,1,2,2,2,2,1,2,2,4,3,3,3,3,1,25,7,1,9
3,3,4,,5,4,2,5,5,3,4,2,3,3,3,2,2,2,2,1,2,4,3,4,3,3,1,49,2,1,9
2,3,2,3,3,3,3,3,3,2,2,2,2,2,1,3,2,2,2,2,2,4,3,3,3,3,1,30,3,1,9
2,3,3,3,3,3,3,2,3,4,3,3,3,4,3,2,2,2,2,2,2,4,3,4,3,3,2,53,7,1,9
3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,4,4,3,3,4,1,49,4,1,9
2,3,,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,2,32,2,1,9
3,3,3,3,4,4,2,3,,2,2,2,2,2,2,3,4,4,4,5,2,4,4,3,,4,1,35,2,2,8
4,4,4,4,5,4,2,4,3,2,3,3,3,3,3,3,3,4,4,4,3,4,3,3,4,3,2,49,8,2,8
3,4,3,3,3,4,2,4,4,1,2,2,2,2,2,4,2,4,3,4,4,4,4,3,4,4,2,36,6,2,8
2,3,2,2,3,3,3,4,3,4,3,3,4,3,3,3,3,4,4,4,3,4,4,3,5,4,2,45,10,2,8
3,2,3,3,3,4,2,3,3,2,3,3,2,2,2,3,3,4,3,4,3,4,4,3,4,4,2,45,1,2,8
4,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,2,4,4,3,5,4,2,40,6,2,8
4,4,5,4,4,4,2,4,4,2,2,2,3,3,2,3,3,4,4,4,3,3,4,3,4,4,1,37,2,2,8
4,4,2,3,4,4,3,3,3,3,3,3,3,3,2,3,3,4,3,4,3,5,4,3,4,4,2,52,13,2,8
1,1,2,1,3,3,3,4,3,2,2,3,2,2,2,4,4,4,4,4,4,3,3,3,3,3,1,52,4,3,11
4,4,4,4,4,3,4,3,3,2,1,2,1,1,,4,4,4,3,3,4,3,3,3,3,3,1,36,6,3,11
4,4,4,4,3,4,3,4,4,2,2,2,3,2,2,4,4,3,3,4,4,2,3,3,3,3,2,50,12,3,11
4,3,3,3,4,4,2,4,4,3,3,4,3,3,3,4,5,5,4,4,4,2,3,3,3,3,2,52,1,3,11
3,4,3,4,4,4,2,4,3,2,1,2,3,2,2,4,4,5,3,4,4,3,3,3,3,3,1,33,12,3,11
4,3,3,4,5,5,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,3,2,48,1,3,11
4,4,4,3,3,3,3,3,3,3,3,4,3,,3,4,4,4,2,5,5,4,3,3,3,3,1,35,10,3,11
4,4,4,4,4,4,2,5,4,2,2,3,,3,2,4,4,4,2,4,4,4,3,3,3,3,2,52,7,3,11
2,2,2,2,3,3,3,2,3,3,3,3,3,3,2,4,4,5,4,3,4,3,3,3,2,3,2,49,10,3,11
4,4,3,4,4,2,4,2,3,2,2,1,1,2,1,4,3,4,3,4,4,3,3,3,3,,2,48,9,3,11
,3,4,,5,5,1,5,4,2,3,3,2,3,2,4,4,4,3,4,4,3,3,3,2,3,2,43,10,3,11
3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,2,2,2,2,2,1,4,4,3,3,4,1,47,6,4,11
4,4,3,4,4,4,2,4,4,3,3,3,3,4,4,2,2,2,2,2,2,4,4,3,3,4,1,52,5,4,11
3,3,3,4,4,4,3,4,3,2,2,2,2,2,2,3,2,2,2,2,2,4,4,4,3,4,1,48,12,4,11
2,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,4,1,42,1,4,11
3,4,4,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,1,2,4,5,3,3,4,1,29,10,4,11
3,3,4,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,4,4,3,3,4,1,39,15,4,11
2,3,2,3,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,3,2,4,2,25,2,4,11
3,2,3,3,2,3,4,2,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,3,3,5,2,30,4,4,11
3,3,2,3,3,3,3,4,4,2,2,2,2,1,2,2,3,2,2,2,2,4,4,3,3,4,2,29,4,4,11
4,4,4,5,2,3,3,3,3,3,,3,2,,3,2,2,2,2,2,1,4,4,3,3,4,2,48,9,4,11
2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,4,3,3,3,1,37,11,4,11
3,2,2,2,3,3,3,3,3,2,3,3,2,2,2,5,5,5,5,5,4,5,5,5,5,5,2,37,11,5,12
3,3,4,2,,3,,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,2,32,7,5,12
2,3,3,2,4,3,2,4,4,2,3,3,3,3,3,5,5,5,5,5,5,5,5,4,5,5,1,41,5,5,12
3,3,3,3,4,5,2,4,4,3,2,3,3,3,3,5,5,5,5,5,5,5,5,4,5,5,1,25,15,5,12
2,3,3,3,4,4,2,5,3,3,3,2,2,2,3,5,5,5,5,5,5,5,5,4,5,5,2,25,13,5,12
4,4,4,4,5,4,2,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,39,2,5,12
4,3,4,3,,5,2,5,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,1,28,2,5,12
5,5,5,4,5,4,2,4,4,5,4,4,4,4,4,5,4,5,4,5,5,5,5,3,5,5,1,28,2,5,12
